Reebok;Jordan;226 CHF;https://www.farfetch.com//ch/shopping/men/jordan-air-jordan-5-burgundy-high-top-sneakers-item-20256178.aspx?storeid=14912
adidas;Reebok;130 CHF;https://www.farfetch.com//ch/shopping/men/reebok-classic-leather-sneakers-item-20136957.aspx?storeid=15073
SANDRO;Ea7 Emporio Armani;221 CHF;https://www.farfetch.com//ch/shopping/men/ea7-emporio-armani-logo-print-low-top-sneakers-item-18223487.aspx?storeid=12801
Giuseppe Zanotti;Magnanni;432 CHF;https://www.farfetch.com//ch/shopping/men/magnanni-horsebit-buckle-slip-on-loafers-item-18084894.aspx?storeid=11529
Nike;New Balance;120 CHF;https://www.farfetch.com//ch/shopping/men/new-balance-650-angora-packblack-sneakers-item-21326933.aspx?storeid=11218
Jordan;Nike;148 CHF;https://www.farfetch.com//ch/shopping/men/nike-dunk-low-celtics-sneakers-item-20629218.aspx?storeid=11218
Giuliano Galiano;Jordan;203 CHF;https://www.farfetch.com//ch/shopping/men/jordan-air-jordan-1-mid-se-space-jam-sneakers-item-19758454.aspx?storeid=11218
Philipp Plein;Giuliano Galiano;283 CHF;https://www.farfetch.com//ch/shopping/men/giuliano-galiano-nemesis-low-top-sneakers-item-14964957.aspx?storeid=12420
Jordan;Philipp Plein;394 CHF;https://www.farfetch.com//ch/shopping/men/philipp-plein-logo-skull-flat-slippers-item-19334364.aspx?storeid=13847
adidas;Jordan;131 CHF;https://www.farfetch.com//ch/shopping/men/jordan-air-jordan-1-high-og-true-blue-sneakers-item-19517453.aspx?storeid=11218
Philipp Plein;Reebok;150 CHF;https://www.farfetch.com//ch/shopping/men/reebok-floatride-energy-symmetros-25-sneakers-item-20136780.aspx?storeid=15073
Nike;Philipp Plein;362 CHF;https://www.farfetch.com//ch/shopping/men/philipp-plein-low-top-leather-sneakers-item-18495986.aspx?storeid=11845
Nike;Nike;316 CHF;https://www.farfetch.com//ch/shopping/men/nike-dunk-low-retro-syracuse-20202022-sneakers-item-15282465.aspx?storeid=11218
Versace;Nike;176 CHF;https://www.farfetch.com//ch/shopping/men/nike-air-vapormax-plus-triple-white-sneakers-item-13429068.aspx?storeid=14912
ASICS;Nike X Off-White;1215 CHF;https://www.farfetch.com//ch/shopping/men/nike-x-off-white-dunk-low-lot-50-sneakers-item-17241161.aspx?storeid=14912
Jordan;Off-White;705 CHF;https://www.farfetch.com//ch/shopping/men/off-white-panelled-chunky-sneakers-item-20972861.aspx?storeid=12572
New Balance;Jordan;244 CHF;https://www.farfetch.com//ch/shopping/men/jordan-air-jordan-1-retro-high-og-court-purple-20-sneakers-item-15367758.aspx?storeid=14912
Maison Mihara Yasuhiro;New Balance;294 CHF;https://www.farfetch.com//ch/shopping/men/new-balance-9060-beach-glass-pink-sneakers-item-20722292.aspx?storeid=11218
Reebok;A BATHING APE®;333 CHF;https://www.farfetch.com//ch/shopping/men/a-bathing-ape-bape-sta-low-m2-it-blue-sneakers-item-18271225.aspx?storeid=14912
Axel Arigato;Reebok;99 CHF;https://www.farfetch.com//ch/shopping/men/reebok-club-c-85-sneakers-item-19727331.aspx?storeid=14563
Dsquared2;Axel Arigato;313 CHF;https://www.farfetch.com//ch/shopping/men/axel-arigato-marathon-runner-low-top-sneakers-item-19555872.aspx?storeid=15074
Philipp Plein;Axel Arigato;237 CHF;https://www.farfetch.com//ch/shopping/men/axel-arigato-clean-90-triple-b-bird-leather-sneakers-item-22335691.aspx?storeid=12309
Jordan;Philipp Plein;334 CHF;https://www.farfetch.com//ch/shopping/men/philipp-plein-low-top-leather-sneakers-item-18497490.aspx?storeid=11845
Jordan;Jordan;159 CHF;https://www.farfetch.com//ch/shopping/men/jordan-jordan-1-mid-armory-navy-sneakers-item-17689200.aspx?storeid=14912
Balmain;Jordan;154 CHF;https://www.farfetch.com//ch/shopping/men/jordan-air-jordan-1-low-og-unc-sneakers-item-18429625.aspx?storeid=11218
Reebok;Balmain;550 CHF;https://www.farfetch.com//ch/shopping/men/balmain-b-court-low-top-sneakers-item-20482799.aspx?storeid=13537
Nike;Reebok;82 CHF;https://www.farfetch.com//ch/shopping/men/reebok-x-vision-of-super-low-top-sneakers-item-19645256.aspx?storeid=9446
Hogan;Nike;199 CHF;https://www.farfetch.com//ch/shopping/men/nike-x-nocta-hot-step-air-terra-violet-haze-sneakers-item-19430064.aspx?storeid=14912
New Balance;Hogan;403 CHF;https://www.farfetch.com//ch/shopping/men/hogan-h630-low-top-sneakers-item-19947939.aspx?storeid=15264
Nike;New Balance;172 CHF;https://www.farfetch.com//ch/shopping/men/new-balance-650-high-top-sneakers-item-20075667.aspx?storeid=10012
VEJA;Nike;142 CHF;https://www.farfetch.com//ch/shopping/men/nike-dunk-low-washed-denim-sneakers-item-20850338.aspx?storeid=14912
ROA;VEJA;177 CHF;https://www.farfetch.com//ch/shopping/men/veja-dekkan-alveomesh-sneakers-item-17531642.aspx?storeid=9597
adidas Yeezy;ROA;328 CHF;https://www.farfetch.com//ch/shopping/men/roa-teri-ankle-boots-item-19955859.aspx?storeid=14115
adidas;Moon Boot;250 CHF;https://www.farfetch.com//ch/shopping/men/moon-boot-mtrack-suede-boots-item-20094682.aspx?storeid=12161
Off-White;PUMA;152 CHF;https://www.farfetch.com//ch/shopping/men/puma-x-perks-and-mini-clyde-rubber-sneakers-item-20142351.aspx?storeid=10050
Represent;Off-White;500 CHF;https://www.farfetch.com//ch/shopping/men/off-white-out-of-office-low-top-sneakers-item-19269731.aspx?storeid=12572
PUMA;Nike;349 CHF;https://www.farfetch.com//ch/shopping/men/nike-air-max-1-travis-scott-baroque-brown-sneakers-item-17616711.aspx?storeid=14912
Ea7 Emporio Armani;PUMA;199 CHF;https://www.farfetch.com//ch/shopping/men/puma-x-rick-and-morty-mb02-adventures-sneakers-item-19830434.aspx?storeid=11218
Jordan;Ea7 Emporio Armani;236 CHF;https://www.farfetch.com//ch/shopping/men/ea7-emporio-armani-logo-print-low-top-sneakers-item-19248908.aspx?storeid=14922
Burberry;Jordan;142 CHF;https://www.farfetch.com//ch/shopping/men/jordan-air-jordan-1-mid-aquatone-sneakers-item-20306811.aspx?storeid=11218
