Philipp Plein;On Running;162 CHF;https://www.farfetch.com//ch/shopping/men/on-running-cloudvista-exclusive-lace-up-sneakers-item-21509646.aspx?storeid=12264
Philipp Plein;Runner Hyper $hock sneakers;310 CHF;https://www.farfetch.com//ch/shopping/men/philipp-plein-runner-hyper-hock-sneakers-item-19943659.aspx?storeid=11845
Hogan;Philipp Plein;310 CHF;https://www.farfetch.com//ch/shopping/men/philipp-plein-runner-hyper-hock-sneakers-item-19943659.aspx?storeid=11845
Hogan;low-top tonal leather sneakers;323 CHF;https://www.farfetch.com//ch/shopping/men/hogan-low-top-tonal-leather-sneakers-item-20810835.aspx?storeid=11167
Philipp Plein;Hogan;323 CHF;https://www.farfetch.com//ch/shopping/men/hogan-low-top-tonal-leather-sneakers-item-20810835.aspx?storeid=11167
Philipp Plein;Iconic Plein low-top sneakers ;346 CHF;https://www.farfetch.com//ch/shopping/men/philipp-plein-iconic-plein-low-top-sneakers-item-18996919.aspx?storeid=11845
Dolce &amp; Gabbana;Philipp Plein;346 CHF;https://www.farfetch.com//ch/shopping/men/philipp-plein-iconic-plein-low-top-sneakers-item-18996919.aspx?storeid=11845
Dolce &amp; Gabbana;Portofino logo-print sneakers;550 CHF;https://www.farfetch.com//ch/shopping/men/dolce-gabbana-portofino-logo-print-sneakers-item-18893058.aspx?storeid=9462
Nike;Dolce &amp; Gabbana;550 CHF;https://www.farfetch.com//ch/shopping/men/dolce-gabbana-portofino-logo-print-sneakers-item-18893058.aspx?storeid=9462
Nike;Dunk Low &quot;Team Gold&quot; sneakers;148 CHF;https://www.farfetch.com//ch/shopping/men/nike-dunk-low-team-gold-sneakers-item-20033284.aspx?storeid=14912
adidas;Nike;148 CHF;https://www.farfetch.com//ch/shopping/men/nike-dunk-low-team-gold-sneakers-item-20033284.aspx?storeid=14912
adidas;Samba ADV sneakers;98 CHF;https://www.farfetch.com//ch/shopping/men/adidas-samba-adv-sneakers-item-19593020.aspx?storeid=11218
Balenciaga;adidas;98 CHF;https://www.farfetch.com//ch/shopping/men/adidas-samba-adv-sneakers-item-19593020.aspx?storeid=11218
Balenciaga;Carrera BB logo slides;675 CHF;https://www.farfetch.com//ch/shopping/men/balenciaga-carrera-bb-logo-slides-item-14232830.aspx?storeid=14391
Nike;Balenciaga;675 CHF;https://www.farfetch.com//ch/shopping/men/balenciaga-carrera-bb-logo-slides-item-14232830.aspx?storeid=14391
Nike;KD 16 &quot;Aunt Pearl&quot; sneakers;293 CHF;https://www.farfetch.com//ch/shopping/men/nike-kd-16-aunt-pearl-sneakers-item-21014072.aspx?storeid=11218
Nike;Nike;293 CHF;https://www.farfetch.com//ch/shopping/men/nike-kd-16-aunt-pearl-sneakers-item-21014072.aspx?storeid=11218
Nike;Dunk Low &quot;Black/Photon Dust-Volt-White&quot; sneakers;165 CHF;https://www.farfetch.com//ch/shopping/men/nike-dunk-low-blackphoton-dust-volt-white-sneakers-item-19949245.aspx?storeid=11218
Giuseppe Zanotti;Nike;165 CHF;https://www.farfetch.com//ch/shopping/men/nike-dunk-low-blackphoton-dust-volt-white-sneakers-item-19949245.aspx?storeid=11218
Giuseppe Zanotti;Frankie leather low-top sneakers;207 CHF;https://www.farfetch.com//ch/shopping/men/giuseppe-zanotti-frankie-leather-low-top-sneakers-item-17439926.aspx?storeid=11909
Philipp Plein;Giuseppe Zanotti;207 CHF;https://www.farfetch.com//ch/shopping/men/giuseppe-zanotti-frankie-leather-low-top-sneakers-item-17439926.aspx?storeid=11909
Philipp Plein;Runner Basic low-top sneakers ;322 CHF;https://www.farfetch.com//ch/shopping/men/philipp-plein-runner-basic-low-top-sneakers-item-18558578.aspx?storeid=11845
Converse;Philipp Plein;322 CHF;https://www.farfetch.com//ch/shopping/men/philipp-plein-runner-basic-low-top-sneakers-item-18558578.aspx?storeid=11845
Converse;x A-Cold-Wall Geo Forma high-top sneakers;176 CHF;https://www.farfetch.com//ch/shopping/men/converse-x-a-cold-wall-geo-forma-high-top-sneakers-item-22261796.aspx?storeid=12850
Diesel;Converse;176 CHF;https://www.farfetch.com//ch/shopping/men/converse-x-a-cold-wall-geo-forma-high-top-sneakers-item-22261796.aspx?storeid=12850
Diesel;Sa-Mayemi Cc X slides;79 CHF;https://www.farfetch.com//ch/shopping/men/diesel-sa-mayemi-cc-x-slides-item-20265547.aspx?storeid=11906
Emporio Armani;Diesel;79 CHF;https://www.farfetch.com//ch/shopping/men/diesel-sa-mayemi-cc-x-slides-item-20265547.aspx?storeid=11906
Emporio Armani;logo-print leather sneakers;263 CHF;https://www.farfetch.com//ch/shopping/men/emporio-armani-logo-print-leather-sneakers-item-21720716.aspx?storeid=9885
New Balance;Emporio Armani;263 CHF;https://www.farfetch.com//ch/shopping/men/emporio-armani-logo-print-leather-sneakers-item-21720716.aspx?storeid=9885
New Balance;1906RCH panelled lace-up sneakers;165 CHF;https://www.farfetch.com//ch/shopping/men/new-balance-1906rch-panelled-lace-up-sneakers-item-22108370.aspx?storeid=10344
Axel Arigato;New Balance;165 CHF;https://www.farfetch.com//ch/shopping/men/new-balance-1906rch-panelled-lace-up-sneakers-item-22108370.aspx?storeid=10344
Axel Arigato;Genesis Vintage sneakers;232 CHF;https://www.farfetch.com//ch/shopping/men/axel-arigato-genesis-vintage-sneakers-item-17454832.aspx?storeid=15074
Versace;Axel Arigato;232 CHF;https://www.farfetch.com//ch/shopping/men/axel-arigato-genesis-vintage-sneakers-item-17454832.aspx?storeid=15074
Versace;logo-jacquard sneakers;604 CHF;https://www.farfetch.com//ch/shopping/men/versace-logo-jacquard-sneakers-item-20265221.aspx?storeid=9752
Axel Arigato;Versace;604 CHF;https://www.farfetch.com//ch/shopping/men/versace-logo-jacquard-sneakers-item-20265221.aspx?storeid=9752
Axel Arigato;Clean 180 low-top sneakers;275 CHF;https://www.farfetch.com//ch/shopping/men/axel-arigato-clean-180-low-top-sneakers-item-20206238.aspx?storeid=13537
Axel Arigato;Axel Arigato;275 CHF;https://www.farfetch.com//ch/shopping/men/axel-arigato-clean-180-low-top-sneakers-item-20206238.aspx?storeid=13537
Axel Arigato;Clean suede sneakers;194 CHF;https://www.farfetch.com//ch/shopping/men/axel-arigato-clean-suede-sneakers-item-15259102.aspx?storeid=11529
Moon Boot;Axel Arigato;194 CHF;https://www.farfetch.com//ch/shopping/men/axel-arigato-clean-suede-sneakers-item-15259102.aspx?storeid=11529
Moon Boot;MTrack Low boots;227 CHF;https://www.farfetch.com//ch/shopping/men/moon-boot-mtrack-low-boots-item-20093692.aspx?storeid=11828
Tommy Jeans;Moon Boot;227 CHF;https://www.farfetch.com//ch/shopping/men/moon-boot-mtrack-low-boots-item-20093692.aspx?storeid=11828
Tommy Jeans;logo-badge pool slides;53 CHF;https://www.farfetch.com//ch/shopping/men/tommy-jeans-logo-badge-pool-slides-item-19617026.aspx?storeid=10136
Axel Arigato;Tommy Jeans;53 CHF;https://www.farfetch.com//ch/shopping/men/tommy-jeans-logo-badge-pool-slides-item-19617026.aspx?storeid=10136
Axel Arigato;low-top leather sneakers;275 CHF;https://www.farfetch.com//ch/shopping/men/axel-arigato-low-top-leather-sneakers-item-20647677.aspx?storeid=10230
Nike;Axel Arigato;275 CHF;https://www.farfetch.com//ch/shopping/men/axel-arigato-low-top-leather-sneakers-item-20647677.aspx?storeid=10230
Nike;Air Force 1 Mid &quot;Off-White - Varsity Maize&quot; sneakers;194 CHF;https://www.farfetch.com//ch/shopping/men/nike-air-force-1-mid-off-white-varsity-maize-sneakers-item-22241733.aspx?storeid=14376
Off-White;Nike;194 CHF;https://www.farfetch.com//ch/shopping/men/nike-air-force-1-mid-off-white-varsity-maize-sneakers-item-22241733.aspx?storeid=14376
Off-White;Vulcanized canvas sneakers;355 CHF;https://www.farfetch.com//ch/shopping/men/off-white-vulcanized-canvas-sneakers-item-21592228.aspx?storeid=10427
UGG;Off-White;355 CHF;https://www.farfetch.com//ch/shopping/men/off-white-vulcanized-canvas-sneakers-item-21592228.aspx?storeid=10427
UGG;Neumel lace-up desert boots;160 CHF;https://www.farfetch.com//ch/shopping/men/ugg-neumel-lace-up-desert-boots-item-18834300.aspx?storeid=9462
Premiata;UGG;160 CHF;https://www.farfetch.com//ch/shopping/men/ugg-neumel-lace-up-desert-boots-item-18834300.aspx?storeid=9462
Premiata;Lucy 6410 low-top suede sneakers;232 CHF;https://www.farfetch.com//ch/shopping/men/premiata-lucy-6410-low-top-suede-sneakers-item-20909335.aspx?storeid=9474
Premiata;Premiata;232 CHF;https://www.farfetch.com//ch/shopping/men/premiata-lucy-6410-low-top-suede-sneakers-item-20909335.aspx?storeid=9474
Premiata;logo-patch leather sneakers;273 CHF;https://www.farfetch.com//ch/shopping/men/premiata-logo-patch-leather-sneakers-item-16923635.aspx?storeid=11153
Jordan;Premiata;273 CHF;https://www.farfetch.com//ch/shopping/men/premiata-logo-patch-leather-sneakers-item-16923635.aspx?storeid=11153
Jordan;Air Jordan 1 Mid &quot;University Blue/Black&quot; sneakers;137 CHF;https://www.farfetch.com//ch/shopping/men/jordan-air-jordan-1-mid-university-blueblack-sneakers-item-21556508.aspx?storeid=14912
Giuseppe Zanotti;Jordan;137 CHF;https://www.farfetch.com//ch/shopping/men/jordan-air-jordan-1-mid-university-blueblack-sneakers-item-21556508.aspx?storeid=14912
Giuseppe Zanotti;Brett logo print slides ;100 CHF;https://www.farfetch.com//ch/shopping/men/giuseppe-zanotti-brett-logo-print-slides-item-16850786.aspx?storeid=11909
Jordan;Giuseppe Zanotti;100 CHF;https://www.farfetch.com//ch/shopping/men/giuseppe-zanotti-brett-logo-print-slides-item-16850786.aspx?storeid=11909
Moon Boot;Jordan;138 CHF;https://www.farfetch.com//ch/shopping/men/jordan-air-jordan-1-mid-se-craft-cement-grey-sneakers-item-21509860.aspx?storeid=14376
Moon Boot;elasticated band padded slippers;151 CHF;https://www.farfetch.com//ch/shopping/men/moon-boot-elasticated-band-padded-slippers-item-19302321.aspx?storeid=9462
Dolce &amp; Gabbana;Moon Boot;151 CHF;https://www.farfetch.com//ch/shopping/men/moon-boot-elasticated-band-padded-slippers-item-19302321.aspx?storeid=9462
Dolce &amp; Gabbana;Portofino low-top sneakers;599 CHF;https://www.farfetch.com//ch/shopping/men/dolce-gabbana-portofino-low-top-sneakers-item-20879458.aspx?storeid=11167
Philipp Plein;Dolce &amp; Gabbana;599 CHF;https://www.farfetch.com//ch/shopping/men/dolce-gabbana-portofino-low-top-sneakers-item-20879458.aspx?storeid=11167
Philipp Plein;Predator low-top sneakers;510 CHF;https://www.farfetch.com//ch/shopping/men/philipp-plein-predator-low-top-sneakers-item-19334346.aspx?storeid=11845
New Balance;Philipp Plein;510 CHF;https://www.farfetch.com//ch/shopping/men/philipp-plein-predator-low-top-sneakers-item-19334346.aspx?storeid=11845
New Balance;RC30 panelled sneakers;120 CHF;https://www.farfetch.com//ch/shopping/men/new-balance-rc30-panelled-sneakers-item-21954032.aspx?storeid=13537
Balenciaga;New Balance;120 CHF;https://www.farfetch.com//ch/shopping/men/new-balance-rc30-panelled-sneakers-item-21954032.aspx?storeid=13537
Balenciaga;Bouncer tread clogs;950 CHF;https://www.farfetch.com//ch/shopping/men/balenciaga-bouncer-tread-clogs-item-20115025.aspx?storeid=13539
