adidas;Jordan 4 Retro;Jordan 4 Retro Thunder (2023);2023-05-13;174 CHF;https://stockx.com/air-jordan-4-retro-thunder-2023
adidas;adidas Yeezy Boost 350 V2;adidas Yeezy Boost 350 V2 Onyx (2022/2023);2022-03-05;243 CHF;https://stockx.com/adidas-yeezy-boost-350-v2-onyx
Nike;adidas Campus 00s;adidas Campus 00s Dark Green Cloud White;2023-03-15;82 CHF;https://stockx.com/adidas-campus-00s-dark-green-cloud-white
Nike;Nike Dunk Low;Nike Dunk Low Next Nature Blue Tint (Women's);2023-09-08;91 CHF;https://stockx.com/nike-dunk-low-next-nature-blue-tint-womens
Jordan;Nike Dunk Low;Nike Dunk Low Rose Whisper (Women's);2022-03-01;72 CHF;https://stockx.com/nike-dunk-low-rose-whisper-w
Jordan;Jordan 4 Retro;Jordan 4 Retro Red Cement (GS);2023-09-09;138 CHF;https://stockx.com/air-jordan-4-retro-red-cement-gs
Jordan;Jordan 1 Retro High OG;Jordan 1 Retro High OG Spider-Man Across the Spider-Verse;2023-05-20;131 CHF;https://stockx.com/air-jordan-1-high-og-spider-man-across-the-spider-verse
UGG;Jordan 12 Retro;Jordan 12 Retro Cherry (2023);2023-10-28;179 CHF;https://stockx.com/air-jordan-12-retro-cherry-2023
Jordan;UGG Tasman II Slipper;UGG Tasman II Slipper Black (Kids);2021-01-01;81 CHF;https://stockx.com/ugg-tasman-ii-slipper-black-kids
Nike;Jordan 4 Retro;Jordan 4 Retro Frozen Moments (Women's);2023-08-26;238 CHF;https://stockx.com/air-jordan-4-retro-frozen-moments-womens
Jordan;Nike NOCTA Glide;Nike NOCTA Glide Drake White Chrome;2023-10-27;126 CHF;https://stockx.com/nike-nocta-glide-drake-white-chrome
Nike;Jordan 3 Retro;Jordan 3 Retro Fear Pack (2023);2023-11-25;144 CHF;https://stockx.com/air-jordan-3-retro-fear-2023
UGG;Nike Dunk Low;Nike Dunk Low Medium Olive (Women's);2022-09-09;89 CHF;https://stockx.com/nike-dunk-low-medium-olive-w
Jordan;UGG Tazz Slipper;UGG Tazz Slipper Heritage Braid Natural (Women's);2023-09-30;176 CHF;https://stockx.com/ugg-tazz-slipper-heritage-braid-natural-womens
UGG;Jordan 1 Mid;Jordan 1 Mid Panda (Women's);2023-06-20;86 CHF;https://stockx.com/air-jordan-1-mid-panda-womens
Nike;UGG Tazz Slipper;UGG Tazz Slipper Mustard Seed (Women's);2023-09-01;167 CHF;https://stockx.com/ugg-tazz-slipper-mustard-seed-womens
