UGG;UGG Neumel Boot;UGG Neumel Boot Chestnut (Women's);2021-02-02;98 CHF;https://stockx.com/ugg-neumel-boot-chestnut-w
Timberland;UGG Scuffette II Slipper;UGG Scuffette II Slipper Chestnut (Women's);2021-02-01;77 CHF;https://stockx.com/ugg-scuffette-ii-slipper-chestnut-w
UGG;Timberland 6\;Timberland 6\;2018-01-01;57 CHF;https://stockx.com/timberland-6-inch-premium-boot-black-gs
Crocs;UGG Disquette Slipper;UGG Disquette Slipper Charcoal (Women's);2020-01-01;110 CHF;https://stockx.com/ugg-disquette-slipper-charcoal-w
Crocs;Crocs Classic Mega Crush Clog;Crocs Classic Mega Crush Clog Barbie The Movie Electric Pink;2023-07-11;67 CHF;https://stockx.com/crocs-classic-mega-crush-clog-barbie-the-movie-electric-pink
UGG;Crocs Classic Clog;Crocs Classic Clog Black;2022-07-15;42 CHF;https://stockx.com/crocs-classic-clog-black
UGG;UGG Bailey Bow II Boot;UGG Bailey Bow II Boot Black (Women's);2021-06-01;126 CHF;https://stockx.com/ugg-bailey-bow-ii-boot-black-w
UGG;UGG Tasman Slipper;UGG Tasman Slipper Oyster;--;122 CHF;https://stockx.com/ugg-tasman-slipper-oyster
Crocs;UGG Tasman Weather Hybrid Slipper;UGG Tasman Weather Hybrid Slipper Chestnut Orange;2023-09-02;146 CHF;https://stockx.com/ugg-tasman-weather-hybrid-slipper-chestnut-orange
UGG;Crocs Echo Clog;Crocs Echo Clog Demon Slayer Tanjiro;2023-10-18;88 CHF;https://stockx.com/crocs-echo-clog-demon-slayer-tanjiro
Crocs;UGG Tasman Slipper;UGG Tasman Slipper Carnation (Women's);2020-03-14;166 CHF;https://stockx.com/ugg-tasman-slipper-carnation-w
UGG;Crocs Classic All-Terrain Clog;Crocs Classic All-Terrain Clog Demon Slayer Inosuke;2023-10-18;74 CHF;https://stockx.com/crocs-classic-all-terrain-clog-demon-slayer-inosuke
Birkenstock;UGG Tasman Slipper;UGG Tasman Slipper White;2020-03-14;98 CHF;https://stockx.com/ugg-tasman-slipper-white
Timberland;Birkenstock Boston;Birkenstock Boston Antique White Suede;2023-05-15;126 CHF;https://stockx.com/birkenstock-boston-antique-white-suede
UGG;Timberland 6\;Timberland 6\;2017-01-01;87 CHF;https://stockx.com/timberland-6-field-boot-beef-and-broccoli
UGG;UGG Goldenstar Clog;UGG Goldenstar Clog Chestnut;2023-01-26;126 CHF;https://stockx.com/ugg-goldenstar-clog-chestnut
UGG;UGG Classic Tall II Boot;UGG Classic Tall II Boot Chestnut (Women's);2016-07-01;164 CHF;https://stockx.com/ugg-classic-tall-ii-boot-chestnut-w
UGG;UGG Tasman X Slipper;UGG Tasman X Slipper Dragon Fruit (Women's);2022-12-26;90 CHF;https://stockx.com/ugg-tasman-slipper-dragon-fruit-w
UGG;UGG Tasman Weather Hybrid Slipper;UGG Tasman Weather Hybrid Slipper Chestnut Whitecap;2023-09-02;178 CHF;https://stockx.com/ugg-tasman-weather-hybrid-slipper-chestnut-whitecap
Crocs;UGG Bailey Button II;UGG Bailey Button II Chestnut (Women's);2023-01-09;130 CHF;https://stockx.com/ugg-bailey-button-ii-chestnut-w
UGG;Crocs Classic Clog;Crocs Classic Clog Barbie Electric Pink;2023-07-11;25 CHF;https://stockx.com/crocs-classic-clog-barbie-electric-pink
Crocs;UGG Tazz Slipper;UGG Tazz Slipper Burnt Olive (Women's);2021-11-01;173 CHF;https://stockx.com/ugg-tazz-slipper-burnt-olive-w
Burberry;Crocs Classic Clog;Crocs Classic Clog Margaritaville;2022-06-16;61 CHF;https://stockx.com/crocs-classic-clog-margaritaville
UGG;Burberry Slides;Burberry Slides Archive Beige (Women's);2023-03-01;159 CHF;https://stockx.com/burberry-slides-archive-beige-womens
UGG;UGG Neumel Boot;UGG Neumel Boot Black (Women's);2021-02-02;115 CHF;https://stockx.com/ugg-neumel-boot-black-w
UGG;UGG Classic Mini II Boot;UGG Classic Mini II Boot Grey (Women's);2021-01-01;88 CHF;https://stockx.com/ugg-classic-mini-ii-boot-grey-w
UGG;UGG Coquette Slipper;UGG Coquette Slipper Chestnut (Women's);2020-10-01;104 CHF;https://stockx.com/ugg-coquette-slipper-chestnut-w
UGG;UGG x Telfar Logo Mini;UGG x Telfar Logo Mini Chestnut;2021-10-18;229 CHF;https://stockx.com/ugg-x-telfar-logo-mini-chestnut
