Yeezy Boost 350 V2 Light; CHF;https://kikikickz.com/\/products\/yeezy-boost-350-v2-light
Toutes nos sneakers;530 CHF;https://kikikickz.com/\/products\/ld-waffle-sacai-clot-net
LD Waffle Sacai Clot Net;340 CHF;https://kikikickz.com/\/products\/ld-waffle-sacai-clot-net
Air Jordan 1 Low OG Starfish (Shattered Backboard);210 CHF;https://kikikickz.com/\/products\/air-jordan-1-low-og-starfish-shattered-backboard
Dunk Low SE Black Multi-Camo (Crazy Camo);270 CHF;https://kikikickz.com/\/products\/dunk-low-se-black-multi-camo-crazy-camo
Chuck Taylor All-Star 70s Hi Comme des Gar\u00e7ons PLAY Black;545 CHF;https://kikikickz.com/\/products\/chuck-taylor-all-star-70s-hi-comme-des-garcons-play-black-1
Dunk Low Light Bone;210 CHF;https://kikikickz.com/\/products\/dunk-low-light-bone
Dunk Low Pink Velvet;665 CHF;https://kikikickz.com/\/products\/dunk-low-pink-velvet
Air Jordan 4 Retro Red Thunder;180 CHF;https://kikikickz.com/\/products\/air-jordan-4-retro-red-thunder
Dunk Low NBA 75th Anniversary Chicago Bulls;280 CHF;https://kikikickz.com/\/products\/dunk-low-nba-75th-anniversary-chicago-bulls
Air Max 1 Patta Monarch;325 CHF;https://kikikickz.com/\/products\/air-max-1-patta-monarch
Air Jordan 1 Mid Grey Green;500 CHF;https://kikikickz.com/\/products\/air-jordan-1-mid-grey-green
Air Jordan 1 Low Bred Toe (2021);360 CHF;https://kikikickz.com/\/products\/air-jordan-1-low-bred-toe-2021
Air Max 1 Patta Noise Aqua;385 CHF;https://kikikickz.com/\/products\/air-max-1-patta-noise-aqua
LD Waffle Sacai Undercover Black Bright Citron;350 CHF;https://kikikickz.com/\/products\/ld-waffle-sacai-undercover-black-bright-citron
LD Waffle Sacai Undercover Night Maroon Team Royal;400 CHF;https://kikikickz.com/\/products\/ld-waffle-sacai-undercover-night-maroon-team-royal
Dunk Low Disrupt Dark Green;330 CHF;https://kikikickz.com/\/products\/dunk-low-disrupt-dark-green
Dunk High Next Nature Rattan;165 CHF;https://kikikickz.com/\/products\/dunk-high-next-nature-rattan
Dunk High University Red;225 CHF;https://kikikickz.com/\/products\/dunk-high-university-red
Dunk High Sail Gum;345 CHF;https://kikikickz.com/\/products\/dunk-high-sail-gum
550 White Red Black;200 CHF;https://kikikickz.com/\/products\/550-white-red-black
Air Jordan 1 Low SE Barcelona Print;145 CHF;https://kikikickz.com/\/products\/air-jordan-1-low-se-barcelona-print
Air Jordan 1 High OG Patent Bred;190 CHF;https://kikikickz.com/\/products\/air-jordan-1-high-og-patent-bred
Yeezy Slide Ochre;300 CHF;https://kikikickz.com/\/products\/yeezy-slide-ochre
Air Jordan 1 High Element Gore-Tex Light Bone;460 CHF;https://kikikickz.com/\/products\/air-jordan-1-high-element-gore-tex-light-bone
Yeezy Boost 350 V2 Beluga Reflective;230 CHF;https://kikikickz.com/\/products\/yeezy-boost-350-v2-beluga-reflective
Dunk Low Harvest Moon;265 CHF;https://kikikickz.com/\/products\/dunk-low-harvest-moon
550 Burgundy Cyan;300 CHF;https://kikikickz.com/\/products\/new-balance-550-burgundy-cyan
Air Jordan 1 Mid Reverse Chicago;235 CHF;https://kikikickz.com/\/products\/air-jordan-1-mid-reverse-chicago
Air Jordan 1 Retro Low Golf Triple White;265 CHF;https://kikikickz.com/\/products\/air-jordan-1-retro-low-golf-triple-white
Air Jordan 1 Mid Valentine's Day;260 CHF;https://kikikickz.com/\/products\/air-jordan-1-mid-valentines-day
Air Jordan 6 Mint Foam;255 CHF;https://kikikickz.com/\/products\/air-jordan-6-mint-foam
Air Jordan 1 Low Light Iron Ore;265 CHF;https://kikikickz.com/\/products\/air-jordan-1-low-light-iron-ore
Air Jordan 1 Mid Diamond Shorts;950 CHF;https://kikikickz.com/\/products\/air-jordan-1-mid-diamond-shorts
Yeezy Boost 350 V2 Dazzling Blue;445 CHF;https://kikikickz.com/\/products\/yeezy-boost-350-v2-dazzling-blue
Air Jordan 1 Retro High OG Bleached Coral;405 CHF;https://kikikickz.com/\/products\/air-jordan-1-retro-high-og-bleached-coral
Dunk Low Union Passport Pack Court Purple;270 CHF;https://kikikickz.com/\/products\/nike-dunk-low-union-court-purple
2002R Suede Pack Black Fig;445 CHF;https://kikikickz.com/\/products\/new-balance-2002r-suede-pack-black-fig
